distance,position,headingChange
0,-180,0.0
0,-144,0.0
0,-108,0.0
0,-72,0.0
0,-36,0.0
0,0,0.0
0,36,0.0
0,72,0.0
0,108,0.0
0,144,0.0
0,180,0.0
10,-180,-29.52000000000004
10,-144,-29.52000000000004
10,-108,-29.52000000000004
10,-72,-29.52000000000004
10,-36,-29.52000000000004
10,0,-29.52000000000004
10,36,-29.52000000000004
10,72,-29.52000000000004
10,108,-29.52000000000004
10,144,-29.52000000000004
10,180,-29.52000000000004
20,-180,-59.75999999999999
20,-144,-59.75999999999999
20,-108,-59.75999999999999
20,-72,-59.75999999999999
20,-36,-59.75999999999999
20,0,-59.75999999999999
20,36,-59.75999999999999
20,72,-59.75999999999999
20,108,-59.75999999999999
20,144,-59.75999999999999
20,180,-59.75999999999999
30,-180,-270.0
30,-144,-270.0
30,-108,-270.0
30,-72,-90.0
30,-36,-90.0
30,0,-90.0
30,36,-90.0
30,72,-90.0
30,108,-90.0
30,144,-90.0
30,180,-90.0
40,-180,-239.76
40,-144,-239.76
40,-108,-252.0
40,-72,-72.0
40,-36,-59.75999999999999
40,0,-59.75999999999999
40,36,-59.75999999999999
40,72,-72.0
40,108,108.0
40,144,120.24000000000001
40,180,120.24000000000001
50,-180,-209.52
50,-144,-216.0
50,-108,-252.0
50,-72,-72.0
50,-36,-36.0
50,0,-29.52000000000004
50,36,-36.0
50,72,-72.0
50,108,108.0
50,144,144.0
50,180,150.47999999999996
60,-180,-180.0
60,-144,-216.0
60,-108,-252.0
60,-72,-72.0
60,-36,-36.0
60,0,0.0
60,36,-36.0
60,72,-72.0
60,108,108.0
60,144,144.0
60,180,180.0
70,-180,-180.0
70,-144,-216.0
70,-108,-252.0
70,-72,-72.0
70,-36,-36.0
70,0,0.0
70,36,-36.0
70,72,-72.0
70,108,108.0
70,144,144.0
70,180,180.0
80,-180,-180.0
80,-144,-216.0
80,-108,-252.0
80,-72,-72.0
80,-36,-36.0
80,0,0.0
80,36,-36.0
80,72,-72.0
80,108,108.0
80,144,144.0
80,180,180.0
90,-180,-180.0
90,-144,-216.0
90,-108,-252.0
90,-72,-72.0
90,-36,-36.0
90,0,0.0
90,36,-36.0
90,72,-72.0
90,108,108.0
90,144,144.0
90,180,180.0
100,-180,-180.0
100,-144,-216.0
100,-108,-252.0
100,-72,-72.0
100,-36,-36.0
100,0,0.0
100,36,-36.0
100,72,-72.0
100,108,108.0
100,144,144.0
100,180,180.0
