distance,direction,headingChange
60,50,56.68369500033231
60,60,65.4544740493782
60,70,73.84036289517331
60,80,81.9801878560779
60,90,89.9999999999989
60,100,98.01981214392015
60,110,106.15963710482414
60,120,114.54552595062063
60,130,123.31630499966548
60,140,132.63172254895957
60,150,142.68309130330812
60,160,153.708025512333
60,170,166.01184433449825
60,180,179.99999999999903
70,-180,-179.9999999999993
70,-170,-166.0118443345005
70,-160,-153.70802551233524
70,-150,-142.6830913033076
70,-140,-132.6317225489587
70,-130,-123.31630499966575
70,-120,-114.54552595062033
70,-110,-106.1596371048232
70,-100,-98.01981214391864
70,-90,-89.99999999999902
70,-80,-81.9801878560793
70,-70,-73.84036289517398
70,-60,-65.45447404937846
70,-50,-56.68369500033211
70,-40,-47.36827745103912
70,-30,-37.316908696689744
70,-20,-26.291974487665616
70,-10,-13.988155665500262
70,0,-1.3105072582675334E-15
70,10,13.988155665500454
70,20,26.291974487665936
70,30,37.31690869668955
70,40,47.3682774510388
70,50,56.68369500033231
70,60,65.4544740493782
70,70,73.84036289517331
70,80,81.9801878560779
70,90,89.9999999999989
70,100,98.01981214392015
70,110,106.15963710482414
70,120,114.54552595062063
70,130,123.31630499966548
70,140,132.63172254895957
70,150,142.68309130330812
70,160,153.708025512333
70,170,166.01184433449825
70,180,179.99999999999903
80,-180,-179.9999999999993
80,-170,-166.0118443345005
80,-160,-153.70802551233524
80,-150,-142.6830913033076
80,-140,-132.6317225489587
80,-130,-123.31630499966575
80,-120,-114.54552595062033
80,-110,-106.1596371048232
80,-100,-98.01981214391864
80,-90,-89.99999999999902
80,-80,-81.9801878560793
80,-70,-73.84036289517398
80,-60,-65.45447404937846
80,-50,-56.68369500033211
80,-40,-47.36827745103912
80,-30,-37.316908696689744
80,-20,-26.291974487665616
80,-10,-13.988155665500262
80,0,-1.3105072582675334E-15
80,10,13.988155665500454
80,20,26.291974487665936
80,30,37.31690869668955
80,40,47.3682774510388
80,50,56.68369500033231
80,60,65.4544740493782
80,70,73.84036289517331
80,80,81.9801878560779
80,90,89.9999999999989
80,100,98.01981214392015
80,110,106.15963710482414
80,120,114.54552595062063
80,130,123.31630499966548
80,140,132.63172254895957
80,150,142.68309130330812
80,160,153.708025512333
80,170,166.01184433449825
80,180,179.99999999999903
90,-180,-179.9999999999993
90,-170,-166.0118443345005
90,-160,-153.70802551233524
90,-150,-142.6830913033076
90,-140,-132.6317225489587
90,-130,-123.31630499966575
90,-120,-114.54552595062033
90,-110,-106.1596371048232
90,-100,-98.01981214391864
90,-90,-89.99999999999902
90,-80,-81.9801878560793
90,-70,-73.84036289517398
90,-60,-65.45447404937846
90,-50,-56.68369500033211
90,-40,-47.36827745103912
90,-30,-37.316908696689744
90,-20,-26.291974487665616
90,-10,-13.988155665500262
90,0,-1.3105072582675334E-15
90,10,13.988155665500454
90,20,26.291974487665936
90,30,37.31690869668955
90,40,47.3682774510388
90,50,56.68369500033231
90,60,65.4544740493782
90,70,73.84036289517331
90,80,81.9801878560779
90,90,89.9999999999989
90,100,98.01981214392015
90,110,106.15963710482414
90,120,114.54552595062063
90,130,123.31630499966548
90,140,132.63172254895957
90,150,142.68309130330812
90,160,153.708025512333
90,170,166.01184433449825
90,180,179.99999999999903
100,-180,-179.9999999999993
100,-170,-166.0118443345005
100,-160,-153.70802551233524
100,-150,-142.6830913033076
100,-140,-132.6317225489587
100,-130,-123.31630499966575
100,-120,-114.54552595062033
100,-110,-106.1596371048232
100,-100,-98.01981214391864
100,-90,-89.99999999999902
100,-80,-81.9801878560793
100,-70,-73.84036289517398
100,-60,-65.45447404937846
100,-50,-56.68369500033211
100,-40,-47.36827745103912
100,-30,-37.316908696689744
100,-20,-26.291974487665616
100,-10,-13.988155665500262
100,0,-1.3105072582675334E-15
100,10,13.988155665500454
100,20,26.291974487665936
100,30,37.31690869668955
100,40,47.3682774510388
100,50,56.68369500033231
100,60,65.4544740493782
100,70,73.84036289517331
100,80,81.9801878560779
100,90,89.9999999999989
100,100,98.01981214392015
100,110,106.15963710482414
100,120,114.54552595062063
100,130,123.31630499966548
100,140,132.63172254895957
100,150,142.68309130330812
100,160,153.708025512333
100,170,166.01184433449825
100,180,179.99999999999903
