distance,headingChange
-180,-179.9999999999993
-144,-136.55172413793127
-108,-104.51612903225771
-72,-75.4838709677409
-36,-43.448275862067895
0,-1.3105072582675334E-15
36,43.44827586206849
72,75.48387096774134
108,104.516129032257
144,136.55172413792937
180,179.99999999999903
